user,level,5K,5KYear,10K,10KYear,half,halfYear,marathon,marathonYear,distance,activities,time,elevation
Adrien83,0,2:29.8,2015,5:22.7,2015,19:16,2015,,,"2,372 mi",743,316 hrs,"95,595 ft"
DenisDuchene,2,24:31,2016,54:14,2016,2:20:12,2017,5:42:35,2017,666 mi,115,148 hrs,"22,748 ft"
D.Xavier,5,19:29,2017,40:16,2015,1:39:00,2015,,,"2,893 mi",314,280 hrs,"160,924 ft"
lolotterun,11,21:27,2017,43:21,2017,1:34:11,2017,3:20:10,2017,"1,728 mi",293,265 hrs,"51,007 ft"
MaxRAC66,11,,,40:56,2017,1:31:51,2016,,,"1,597 mi",195,199 hrs,"58,022 ft"
tontonsteph,11,,,57:21,2015,1:54:23,2017,,,966 mi,97,161 hrs,"123,314 ft"
lepolandais,11,22:23,2016,48:20,2016,1:47:42,2017,6:30:24,2017,992 mi,151,224 hrs,"158,363 ft"
balouzat,11,20:50,2018,44:07,2018,1:49:58,2016,5:33:12,2017,"1,198 mi",160,238 hrs,"247,470 ft"
clement.mazet,11,20:43,2016,43:41,2013,1:41:57,2016,4:55:53,2014,"2,835 mi",216,"1,915 hrs","527,894 ft"
Yvan11,11,,,45:00,2014,1:36:55,2013,3:32:36,2013,416 mi,35,117 hrs,"71,344 ft"
khalym,11,20:26,2016,43:12,2014,1:42:19,2010,3:39:40,2014,772 mi,81,90 hrs,"27,677 ft"
roccosmn,11,18:56,2016,39:11,2017,1:25:27,2015,3:06:45,2017,824 mi,99,111 hrs,"36,381 ft"
barginio,11,,,42:30,2016,1:37:26,2016,3:47:00,2009,,,,
Stephtur,11,19:36,2017,41:56,2016,1:46:13,2017,,,"1,501 mi",334,307 hrs,"81,864 ft"
maxime.d,9,19:02,2018,38:15,2018,1:21:26,2018,,,,,,
Kevin09100,11,21:12,2017,43:57,2013,1:59:46,2012,5:43:36,2015,"1,465 mi",182,343 hrs,"334,469 ft"
