user,level,5K,5KYear,10K,10KYear,half,halfYear,marathon,marathonYear,distance,activities,time,elevation,marathonRecord,marathonTrainDis3,marathonTrainPace3,marathonTrainPaceSec3,marathonTrainDays3,marathonTrainDis12,marathonTrainPace12,marathonTrainPaceSec12,marathonTrainDays12,marathonDate,halfRecord,halfTrainDis3,halfTrainPace3,halfTrainPaceSec3,halfTrainDays3,halfTrainDis12,halfTrainPace12,halfTrainPaceSec12,halfTrainDays12,halfDate,10KRecord,10KTrainDis3,10KTrainPace3,10KTrainPaceSec3,10KTrainDays3,10KTrainDis12,10KTrainPace12,10KTrainPaceSec12,10KTrainDays12,10KDate,5KRecord,5KTrainDis3,5KTrainPace3,5KTrainPaceSec3,5KTrainDays3,5KTrainDis12,5KTrainPace12,5KTrainPaceSec12,5KTrainDays12,5KDate
punisher3d,14,22:40,2017,49:10,2014,1:48:20,2014,10:42:31,2017,389 mi,61,76 hrs,"32,972 ft",13:6:9.23828125,0,0,0,0,0,0,0,0,null,2:53:49.130859375,0,0,0,0,0,0,0,0,null,1:13:12.0068359375,0,0,0,0,0,0,0,0,null,0:23:12.77001953125,0,0,0,0,0,0,0,0,null
BillFriedline,14,22:29,2016,47:37,2015,1:47:09,2015,4:23:25,2015,995 mi,197,172 hrs,"24,586 ft",4:23:25,106.15000144986972,9:20.65327543217893,560.6532754321789,53,36.69970919755925,9:13.424158140671011,553.424158140671,69,2015-04-25,1:47:8.541000000000167,121.80179659570591,9:4.632415290706717,544.6324152907067,61,88.60232300197595,9:16.025403708298086,556.0254037082981,174,2015-10-03,0:47:37.08199999999988,96.82098458581362,9:6.343211577062334,546.3432115770623,42,24.205246146453405,9:6.343211577062334,546.3432115770623,42,2015-03-21,0:22:29.108999999999924,85.47758708538906,9:9.04516221058293,549.0451622105829,42,105.96768240396692,9:50.0724525769117,590.0724525769117,180,2016-11-24
merzkeabn,14,21:19,2013,49:14,2013,1:46:06,2013,4:22:12,2013,643 mi,206,122 hrs,"10,047 ft",4:22:12.450000000000728,21.092012874843103,8:50.51519547854298,530.515195478543,5,16.684187824408347,9:5.581696621950755,545.5816966219508,25,2013-11-10,1:46:5.899999999999636,34.428448929374774,9:5.402293275516286,545.4022932755163,13,14.169561227998228,9:11.658754581230937,551.6587545812309,23,2013-09-08,0:49:13.949999999999818,24.636594297455275,9:13.815589738769631,553.8155897387696,10,10.888411294899358,9:16.464713038989885,556.4647130389899,19,2013-08-03,0:21:18.97499999999991,18.83182132634082,9:22.1740890878076,562.1740890878076,7,9.437218052120743,9:21.04189152192373,561.0418915219237,16,2013-07-27
Axford84,14,17:55,2017,38:35,2017,1:39:13,2017,4:25:28,2017,,,,,277777:46:40,0,0,0,0,0,0,0,0,null,1:48:35,0,0,0,0,0,0,0,0,null,0:18:35.628999999999905,0,0,0,0,0,0,0,0,null,0:17:54.56103515625,81.8603273588992,8:3.130236999326087,483.1302369993261,43,36.865352551113716,8:21.654287643899636,501.65428764389964,86,2017-03-08
jwalton88,13,20:39,2016,47:16,2016,1:45:32,2016,3:41:06,2017,"2,423 mi",267,241 hrs,"62,390 ft",3:41:6.248046875,30.432506590434595,8:2.2754575522787377,482.27545755227874,13,26.793660261802447,8:39.03618396564218,519.0361839656422,67,2017-03-11,1:42:55.18000000000029,0,0,0,0,0,0,0,0,null,0:45:36.5,0,0,0,0,0,0,0,0,null,0:19:24.22499999999991,0,0,0,0,0,0,0,0,null
DanMuscarella,14,20:00,2017,43:41,2017,1:38:42,2015,3:54:00,2014,"3,377 mi",292,303 hrs,"1,044,283 ft",1:50:23.326000000000022,0,0,0,0,0,0,0,0,null,1:38:49.12700000000041,10.89576679466945,8:6.921581562810275,486.9215815628103,6,2.7239416986673626,8:6.921581562810275,486.9215815628103,6,2015-05-10,0:43:41.3349609375,40.25493885336277,8:9.531972193660124,489.5319721936601,25,49.30527058104628,8:16.204850182089842,496.20485018208984,120,2017-03-10,0:19:59.8499755859375,40.09455431158568,8:24.728333040444227,504.7283330404442,26,58.052890311846575,8:8.214811019244905,488.2148110192449,130,2017-11-23
paurus,14,19:58,2013,43:51,2016,1:36:51,2012,3:55:25,2017,"2,147 mi",253,227 hrs,"89,959 ft",277777:46:40,0,0,0,0,0,0,0,0,null,277777:46:40,0,0,0,0,0,0,0,0,null,0:56:15.150000000000091,0,0,0,0,0,0,0,0,null,0:33:2.7899999999999636,0,0,0,0,0,0,0,0,null
TSchillmoeller,14,26:27,2014,51:22,2014,1:46:01,2015,4:22:25,2014,0 mi,0,0 hrs,0 ft,4:22:25,46.504235690821496,10:27.953430467775775,627.9534304677758,21,37.75445679595362,10:16.577177695258683,616.5771776952587,80,2014-04-27,1:46:1.4279999999998836,42.09704599400997,9:7.034068295672796,547.0340682956728,22,35.316876276403164,9:43.03583407302847,583.0358340730285,88,2015-03-14,0:51:22.340000000000146,23.34219203731551,9:22.753131568245408,562.7531315682454,14,33.16489212969292,10:5.3049236975122085,605.3049236975122,75,2014-12-25,0:26:26.923999999999978,25.156724702880272,10:7.266109311290506,607.2661093112905,20,40.62357498519062,10:8.467450054416759,608.4674500544168,86,2014-10-10
dannybsting,14,24:46,2015,48:18,2014,1:46:46,2015,3:48:18,2015,0 mi,0,0 hrs,0 ft,277777:46:40,0,0,0,0,0,0,0,0,null,277777:46:40,0,0,0,0,0,0,0,0,null,277777:46:40,0,0,0,0,0,0,0,0,null,277777:46:40,0,0,0,0,0,0,0,0,null
scottbaldwin,14,21:36,2016,40:10,2011,1:26:03,2016,3:17:47,2011,"5,894 mi",654,538 hrs,"213,251 ft",3:42:46.11199999999917,0,0,0,0,0,0,0,0,null,1:36:34.287109375,0,0,0,0,0,0,0,0,null,0:45:38.9079999999999,0,0,0,0,0,0,0,0,null,0:28:0.6390380859375,0,0,0,0,0,0,0,0,null
