user,5K,5KYear,marathon,marathonYear,distance,activities,time,elevation,level
jeffdnapoli,22:10,2016,3:52:53,2014,929 mi,162,141 hrs,"27,347 ft",2
zubinj,22:29,2017,3:59:03,2017,"1,602 mi",215,239 hrs,"29,865 ft",3
figjer,21:04,2016,3:36:45,2017,"1,309 mi",154,187 hrs,"32,072 ft",5
joelyons2,18:38,2017,3:08:21,2017,"2,481 mi",383,337 hrs,"58,150 ft",7
jerryluna,21:11,2017,3:21:19,2014,"2,030 mi",321,301 hrs,"117,273 ft",11
Brooklyn47,24:22,2015,4:38:42,2015,"1,566 mi",368,329 hrs,"34,731 ft",11
solidSHANO,17:41,2014,2:44:44,2016,"3,350 mi",402,565 hrs,"171,265 ft",11
lilmunchkinbutt,22:42,2018,4:54:13,2017,"1,417 mi",276,312 hrs,"161,072 ft",11
zmcuster,17:08,2014,2:53:00,2015,"1,813 mi",370,237 hrs,"55,054 ft",10
FeliNazar,17:10,2017,2:52:47,2017,"1,790 mi",314,229 hrs,"47,635 ft",11
AAzrak,21:54,2016,3:45:41,2017,639 mi,100,97 hrs,"5,856 ft",11
DavidShaoul,21:11,2009,3:23:23,2013,"1,223 mi",109,127 hrs,"40,314 ft",11
sollytheprman,20:49,2015,3:37:26,2015,"2,638 mi",426,383 hrs,"20,477 ft",11
AzGoalie,30:14,2015,3:37:52,2014,0 mi,0,0 hrs,0 ft,11
G-C-N,33:49,2017,4:23:03,2018,"4,109 mi",1311,820 hrs,"202,933 ft",11
Enzothefox,24:21,2017,4:04:12,2017,"1,497 mi",189,221 hrs,"18,768 ft",11
TommyLeedberg,22:23,2015,4:34:44,2014,167 mi,81,31 hrs,76 ft,11
Augoustinos,21:56,2015,4:19:50,2014,73 mi,17,28 hrs,"19,606 ft",11
denniz2008,16:55,2006,2:46:15,2012,"3,625 mi",500,364 hrs,"136,858 ft",11
papageio,21:02,2018,3:30:31,2017,"1,677 mi",240,234 hrs,"31,122 ft",11
GiannisLepesis,24:11,2017,4:18:03,2017,"3,062 mi",316,361 hrs,"194,539 ft",11
kgoneos,21:40,2015,3:53:20,2016,18 mi,10,3 hrs,325 ft,11
nikitas.p,18:24,2016,3:31:56,2016,"1,048 mi",202,153 hrs,"100,437 ft",11
spygkerk,20:18,2017,3:37:33,2016,"6,340 mi",628,597 hrs,"199,986 ft",11
ThanasisBethanis,20:10,2018,3:30:40,2017,"1,338 mi",259,188 hrs,"45,046 ft",11
Vasilisimellos,19:49,2014,4:18:44,2014,"1,050 mi",209,130 hrs,"25,756 ft",11
rasmusvbirk,21:07,2016,4:10:31,2017,"1,547 mi",175,196 hrs,"63,179 ft",11
