trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-95.55565425541944,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-28.529638455287078,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-171.3385454832448,"{0: 14, 1: 0, 2: 7, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-190.56250216608902,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-185.10998230554543,"{0: 7, 1: 3, 2: 6, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-225.38806258372392,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 5}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-112.77502326717344,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-96.12657891853894,"{0: 8, 1: 8, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-139.2743960155181,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,5,-5.6570748613374375,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,2,-152.4989918696097,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 3}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-154.63940231310156,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,6,-73.99345361211867,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-78.44810833569721,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-64.86028982816362,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,6,-64.10306473927147,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,27.58080044893627,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,11,-88.16464702909181,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-109.05195807074345,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,11,1.1324050287141127,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,5,18.73710086846757,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,14,9.222429649606294,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",30,22,13.210522353352172,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,9,-4.5850530083267635,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,13,4.847118841292468,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,4,-31.158342150093247,"{0: 13, 1: 0, 2: 1, 3: 2, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",30,22,12.80977044768434,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,0,29.4881457952185,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,1.6981622482384158,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,3,-93.28672651488148,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 3}",1
