trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,0,-88.79660367323537,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,0,-32.51373685941877,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.22313016014842982}",25,0,8.049842264429914,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.1353352832366127}",20,0,-46.18984707358586,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.0820849986238988}",20,0,11.582350953258205,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.049787068367863944}",25,13,17.22458508016227,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.0301973834223185}",25,0,20.2315161335557,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.01831563888873418}",20,9,20.281323209069445,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.011108996538242306}",25,3,29.187950440089626,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.006737946999085467}",30,15,27.668279555726,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.004086771438464067}",20,13,10.100451924555985,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.0024787521766663585}",20,12,11.057510038446871,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.0015034391929775724}",35,20,23.868009797402625,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.0009118819655545162}",20,14,12.308364122377457,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.0005530843701478336}",20,6,21.651999296438962,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.00033546262790251185}",20,0,30.88747999821823,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.00020346836901064417}",30,8,36.86424378206144,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.00012340980408667956}",25,6,27.787790121139697,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 7.48518298877006e-05}",25,10,23.916661334881503,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 4.5399929762484854e-05}",20,8,19.296061687815982,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,6,24.847197820470686,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,0,31.20837796795118,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,11,13.563960455769028,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,11,21.34811545010708,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,6,22.13912943523752,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,13,14.1691636150046,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",30,0,34.757212639356645,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",30,19,19.361155273656188,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,13,12.406910370729207,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,13,13.49195657007319,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
