trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-178.72835460886313,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-165.3001600290842,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-209.0898334896114,"{0: 19, 1: 6, 2: 6, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.99617061350419,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.5908384666068,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-132.44591921573038,"{0: 16, 1: 5, 2: 7, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.51872751972542,"{0: 10, 1: 5, 2: 3, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.86622096476682,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.40833019872656,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-36.981279551308674,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",35,23,8.524076869176445,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.27284843176993,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-112.53497391163809,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-70.5760549616491,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.33661259513528,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.15956930575128,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-157.91288453997947,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",35,0,-120.35947346775076,"{0: 21, 1: 7, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.47706071029768,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.09808775017436,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-280.6196823073686,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 6}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.99817038383543,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,0,-142.29151578493563,"{0: 23, 1: 2, 2: 7, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-94.3574725000268,"{0: 16, 1: 4, 2: 10, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-186.37430332185812,"{0: 7, 1: 5, 2: 3, 3: 3, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-139.0632432659798,"{0: 13, 1: 6, 2: 4, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-88.5617141148841,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-125.4946339277259,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-51.18465661998518,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-102.83717662066465,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
